Cluster2,Cluster3,Cluster4
S100A9,NKG7,CD79A
S100A8,CCL5,TCL1A
LYZ,CST7,CD79B
CST3,GZMA,MS4A1
LST1,CTSW,HLA-DQB1
TYROBP,PRF1,HLA-DQA1
FCN1,GZMB,LINC00926
AIF1,GZMH,VPREB3
LGALS2,FGFBP2,HLA-DRA
FCER1G,GNLY,FCER2
CFD,CCL4,BANK1
IFITM3,HOPX,HLA-DQA2
MS4A6A,GZMK,TSPAN13
CD14,KLRD1,FCRLA
APOBEC3A,SPON2,HLA-DOB
HLA-DRA,XCL2,PKIG
MS4A7,KLRG1,CD72
RBP7,CD8A,BLK
FOLR3,CLIC3,GNG7
IL1B,S1PR5,SPIB
S100A12,XCL1,KIAA0125
IL8,NCR3,PDLIM1
G0S2,TTC38,P2RX5
RETN,PRSS23,PNOC
CCL3,IL2RB,CD19
APOBEC3B,GPR56,IGLL5
ID1,PTGDR,BLNK
FCGR3A,AKR1C3,FCRL1
CLEC10A,FCRL6,SNX29P2
SMARCD3,C1orf21,ADAM28
GBGT1,CD160,POU2AF1
FCER1A,PLEKHF1,AC079767.4
NCOR2,LAG3,ARHGAP24
YPEL2,CD8B,FCGR2B
,TIGIT,RP11-693J15.5
,KLRC1,FCRL2
,FCGR3A,RP5-887A10.1
,IFNG,PPP1R14A
,SH2D1B,BCL7A
,KLRF1,MZB1
,KLRB1,TNFRSF13C
,IGFBP7,LCN8
,HAVCR2,CD200
,HBA1,IGJ
,GNG11,BACE2
,SDPR,RP11-428G5.5
,CLU,SEL1L3
,PF4,CDCA7L
,GP9,KCNG1
,S100B,AL928768.3
,ITGA2B,ACBD3
,STMN1,SYVN1
,TREML1,DNAJC10
,PGRMC1,NR2C1
,PTCRA,LRRIQ3
,SPARC,SPIN1
,MYL9,PDIK1L
,PPBP,MTRF1
,CCL3,MADD
,TUBB1,NAPA-AS1
,ZBP1,MTIF2
,TSC22D1,ZNF561
,CA2,
,HIST1H2AC,
,GPKOW,
,CD9,
,ACRBP,
,TMEM140,
,AAGAB,
,ARVCF,
,LINC00662,
,MOCS2,
